# 補助辞書: IPA辞書に無い/誤変換されやすい常用語を追加する。
# 形式: 読み,表記[,コスト]  （コスト省略時は 4000。# 行はコメント）
# 追加後は: cargo run --release -p dict-builder --bin dict-builder -- extend dictionaries/system.dic dictionaries/extra.csv
#
# --- IT・開発 ---
きぞん,既存
こうちく,構築
どうにゅう,導入
うんよう,運用
ほしゅ,保守
かんきょう,環境
きのう,機能,3800
せいのう,性能
しよう,仕様
ようけん,要件
せっけい,設計
けんしょう,検証
けんとう,検討
たいおう,対応
しゅうせい,修正
かいぜん,改善
かだい,課題
じょうほう,情報
かんり,管理
しょり,処理
せいぎょ,制御
つうしん,通信
せつぞく,接続
にんしょう,認証
あんごう,暗号
へんかん,変換,3800
にゅうりょく,入力,3800
しゅつりょく,出力
ひょうじ,表示
せんたく,選択
じっこう,実行
さくじょ,削除
ついか,追加
こうしん,更新
とうろく,登録
けんさく,検索
さんしょう,参照
しゅとく,取得
ほぞん,保存
よみこみ,読み込み
かきこみ,書き込み
こうりつ,効率,3800
こうりつか,効率化
じどうか,自動化
さいてきか,最適化
ひょうじゅんか,標準化
こうそくか,高速化
かしか,可視化
# --- 使用系の複合語（同音語が多く既定を決めておく。学習で上書き可）---
しようりょう,使用量
しようりょう,使用料,4200
しようちゅう,使用中
ていけい,定型
ていけい,提携,4200
ようりょう,容量
ようりょう,要領,4200
ていぎ,定義
ていすう,定数
へんすう,変数
かんすう,関数
はいれつ,配列
もじれつ,文字列
# --- 頻出フレーズ（IPA辞書の安い同音語に割れやすい。単語登録で保護）---
# 例: もんだいない が「揉んだ以内」に割れる（以内が異常に安いため）
もんだいない,問題ない,3500
もんだいなく,問題なく,3500
もんだいありません,問題ありません,3500
# --- 〜性（複合語。IPA辞書に単語登録が無い）---
かのうせい,可能性,3800
じゅうようせい,重要性
ひつようせい,必要性
あんぜんせい,安全性
しんらいせい,信頼性
こうりつせい,効率性
じゅうなんせい,柔軟性
せいかくせい,正確性
# --- ビジネス ---
ほうこく,報告
れんらく,連絡
そうだん,相談
ていあん,提案
しょうにん,承認
けいやく,契約
みつもり,見積もり
せいきゅう,請求
のうひん,納品
こきゃく,顧客
とりひき,取引
えいぎょう,営業
はんばい,販売
こうにゅう,購入
よさん,予算
じっせき,実績
もくひょう,目標
けいかく,計画
しんちょく,進捗
きげん,期限
しめきり,締め切り
# --- ひらがなで書くのが普通なのにカタカナ語（ママ等）に負ける語 ---
# 低コストのひらがな表記を入れて、既定でひらがなが選ばれるようにする。
まま,まま,2000
ここ,ここ,2000
そこ,そこ,2500
どこ,どこ,2500
これ,これ,2000
それ,それ,2000
どれ,どれ,2500
とき,とき,2500
ところ,ところ,2500
# --- 一般 ---
ばあい,場合,3800
りゆう,理由
ほうほう,方法,3800
ないよう,内容
けっか,結果,3800
えいきょう,影響
はんだん,判断
はんい,範囲
きじゅん,基準
じょうけん,条件
けいこう,傾向
とくちょう,特徴
りてん,利点
けってん,欠点
めんどう,面倒
だいたい,大体
ぜんぶ,全部,3800
いちぶ,一部
すうじ,数字
もじ,文字,3800
